DEBUG:root:Episode 184  Average Score: 25.583   Current (avg) Score: 29.887
DEBUG:root:Episode 185  Average Score: 25.742   Current (avg) Score: 28.389
DEBUG:root:Episode 186  Average Score: 25.893   Current (avg) Score: 29.460
DEBUG:root:Episode 187  Average Score: 26.038   Current (avg) Score: 28.911
DEBUG:root:Episode 188  Average Score: 26.176   Current (avg) Score: 29.012
DEBUG:root:Episode 189  Average Score: 26.333   Current (avg) Score: 29.795
DEBUG:root:Episode 190  Average Score: 26.451   Current (avg) Score: 28.287
DEBUG:root:Episode 191  Average Score: 26.585   Current (avg) Score: 30.177
DEBUG:root:Episode 192  Average Score: 26.740   Current (avg) Score: 30.324
DEBUG:root:Episode 193  Average Score: 26.874   Current (avg) Score: 29.809
DEBUG:root:Episode 194  Average Score: 27.001   Current (avg) Score: 29.129
DEBUG:root:Episode 195  Average Score: 27.134   Current (avg) Score: 29.975
DEBUG:root:Episode 196  Average Score: 27.257   Current (avg) Score: 29.815
DEBUG:root:Episode 197  Average Score: 27.390   Current (avg) Score: 30.541
DEBUG:root:Episode 198  Average Score: 27.508   Current (avg) Score: 29.013
DEBUG:root:Episode 199  Average Score: 27.633   Current (avg) Score: 29.603
DEBUG:root:Episode 200  Average Score: 27.746   Current (avg) Score: 29.600
INFO:root:Episode 200   Average Score: 27.746                                                                  
INFO:root:Saving checkpoint file...                                        
DEBUG:root:Episode 201  Average Score: 27.834   Current (avg) Score: 28.427 
DEBUG:root:Episode 202  Average Score: 27.937   Current (avg) Score: 29.675                                    
DEBUG:root:Episode 203  Average Score: 28.032   Current (avg) Score: 30.378
DEBUG:root:Episode 204  Average Score: 28.113   Current (avg) Score: 29.515
DEBUG:root:Episode 205  Average Score: 28.198   Current (avg) Score: 29.325
DEBUG:root:Episode 206  Average Score: 28.294   Current (avg) Score: 29.965
DEBUG:root:Episode 207  Average Score: 28.375   Current (avg) Score: 29.803
DEBUG:root:Episode 208  Average Score: 28.438   Current (avg) Score: 30.028
DEBUG:root:Episode 209  Average Score: 28.497   Current (avg) Score: 28.189
DEBUG:root:Episode 210  Average Score: 28.565   Current (avg) Score: 29.549
DEBUG:root:Episode 211  Average Score: 28.637   Current (avg) Score: 29.004
DEBUG:root:Episode 212  Average Score: 28.718   Current (avg) Score: 29.465
DEBUG:root:Episode 213  Average Score: 28.766   Current (avg) Score: 29.693
DEBUG:root:Episode 214  Average Score: 28.832   Current (avg) Score: 30.458
DEBUG:root:Episode 215  Average Score: 28.890   Current (avg) Score: 29.611
DEBUG:root:Episode 216  Average Score: 28.922   Current (avg) Score: 29.683
DEBUG:root:Episode 217  Average Score: 28.970   Current (avg) Score: 30.099
DEBUG:root:Episode 218  Average Score: 29.006   Current (avg) Score: 30.236
DEBUG:root:Episode 219  Average Score: 29.027   Current (avg) Score: 30.146
DEBUG:root:Episode 220  Average Score: 29.071   Current (avg) Score: 30.387
DEBUG:root:Episode 221  Average Score: 29.119   Current (avg) Score: 31.036
DEBUG:root:Episode 222  Average Score: 29.161   Current (avg) Score: 30.630
DEBUG:root:Episode 223  Average Score: 29.194   Current (avg) Score: 30.974
DEBUG:root:Episode 224  Average Score: 29.244   Current (avg) Score: 31.124
DEBUG:root:Episode 225  Average Score: 29.264   Current (avg) Score: 30.241                                    
DEBUG:root:Episode 226  Average Score: 29.285   Current (avg) Score: 30.289
DEBUG:root:Episode 227  Average Score: 29.308   Current (avg) Score: 30.583 
DEBUG:root:Episode 228  Average Score: 29.342   Current (avg) Score: 30.336                                    
DEBUG:root:Episode 229  Average Score: 29.358   Current (avg) Score: 30.385
DEBUG:root:Episode 230  Average Score: 29.370   Current (avg) Score: 29.725
DEBUG:root:Episode 231  Average Score: 29.397   Current (avg) Score: 30.089
DEBUG:root:Episode 232  Average Score: 29.412   Current (avg) Score: 31.094
DEBUG:root:Episode 233  Average Score: 29.436   Current (avg) Score: 30.912
DEBUG:root:Episode 234  Average Score: 29.435   Current (avg) Score: 29.427
DEBUG:root:Episode 235  Average Score: 29.451   Current (avg) Score: 30.044
DEBUG:root:Episode 236  Average Score: 29.453   Current (avg) Score: 30.117
DEBUG:root:Episode 237  Average Score: 29.467   Current (avg) Score: 30.794
DEBUG:root:Episode 238  Average Score: 29.460   Current (avg) Score: 28.530
DEBUG:root:Episode 239  Average Score: 29.470   Current (avg) Score: 31.082
DEBUG:root:Episode 240  Average Score: 29.481   Current (avg) Score: 30.664
DEBUG:root:Episode 241  Average Score: 29.499   Current (avg) Score: 30.316
DEBUG:root:Episode 242  Average Score: 29.521   Current (avg) Score: 30.139
DEBUG:root:Episode 243  Average Score: 29.545   Current (avg) Score: 30.881
DEBUG:root:Episode 244  Average Score: 29.562   Current (avg) Score: 29.780
DEBUG:root:Episode 245  Average Score: 29.583   Current (avg) Score: 31.222
DEBUG:root:Episode 246  Average Score: 29.596   Current (avg) Score: 30.405
DEBUG:root:Episode 247  Average Score: 29.606   Current (avg) Score: 31.408
DEBUG:root:Episode 248  Average Score: 29.626   Current (avg) Score: 30.772
DEBUG:root:Episode 249  Average Score: 29.663   Current (avg) Score: 30.202
DEBUG:root:Episode 250  Average Score: 29.679   Current (avg) Score: 30.334
DEBUG:root:Episode 251  Average Score: 29.703   Current (avg) Score: 30.536
DEBUG:root:Episode 252  Average Score: 29.720   Current (avg) Score: 30.692
DEBUG:root:Episode 253  Average Score: 29.730   Current (avg) Score: 30.063
DEBUG:root:Episode 254  Average Score: 29.733   Current (avg) Score: 30.016
DEBUG:root:Episode 255  Average Score: 29.733   Current (avg) Score: 30.184
DEBUG:root:Episode 256  Average Score: 29.747   Current (avg) Score: 30.279
DEBUG:root:Episode 257  Average Score: 29.748   Current (avg) Score: 29.915
DEBUG:root:Episode 258  Average Score: 29.771   Current (avg) Score: 30.800
